,addr1,addr2,addr3,city,country,cuisine,is_closed,lat,locality,lon,name,price,rating,reviews,state,uid,zipcode
0,83 Baxter St,,,New York,US,mexican,FALSE,40.71669072,"New York City, NY",-73.99994401,Breakroom,$,4.5,1245,NY,breakroom-new-york,10013
1,75 9th Ave,,,New York,US,mexican,FALSE,40.7425547,"New York City, NY",-74.0060838,Los Tacos No.1,$,4.5,1872,NY,los-tacos-no-1-new-york,10011
2,409 W 15th St,,,New York,US,mexican,FALSE,40.74207,"New York City, NY",-74.00565,Los Mariscos,$,4.5,237,NY,los-mariscos-new-york,10011
3,663 Washington Ave,,,Brooklyn,US,mexican,FALSE,40.677257,"New York City, NY",-73.963395,Taqueria De Los Muertos,$,4,323,NY,taqueria-de-los-muertos-brooklyn,11238
4,141 Wilson Ave,,,Brooklyn,US,mexican,FALSE,40.700817,"New York City, NY",-73.925422,El Kucho Mexican Restaurant,$,4,143,NY,el-kucho-mexican-restaurant-brooklyn,11237
5,120 Franklin St,,,Brooklyn,US,mexican,FALSE,40.72886,"New York City, NY",-73.95727,Tacos Lokos 4ever,$,4,19,NY,tacos-lokos-4ever-brooklyn,11222
6,606 8th Ave,,,New York,US,mexican,FALSE,40.75543,"New York City, NY",-73.99071,Blue Maiz,$,4,111,NY,blue-maiz-new-york,10018
7,63 E 4th St,,,New York,US,mexican,FALSE,40.72686,"New York City, NY",-73.99075,Miscelanea NY,$,5,166,NY,miscelanea-ny-new-york,10003
8,129 2nd Ave,,,New York,US,mexican,FALSE,40.72843376,"New York City, NY",-73.98798443,Taqueria Diana,$,4,577,NY,taqueria-diana-new-york,10003
9,82 5th Ave,,,Brooklyn,US,mexican,FALSE,40.68058,"New York City, NY",-73.97788,Nacho Macho Taco,$,4.5,65,NY,nacho-macho-taco-brooklyn,11217
10,568 Myrtle Ave,,,Brooklyn,US,mexican,FALSE,40.6937857,"New York City, NY",-73.9616331,Taqueria Tepango,$,4,185,NY,taqueria-tepango-brooklyn,11205
11,271 Starr St,,,Brooklyn,US,mexican,FALSE,40.7066299,"New York City, NY",-73.92198,Tortilleria Mexicana Los Hermanos,$,4,607,NY,tortilleria-mexicana-los-hermanos-brooklyn-2,11237
12,323 Franklin Ave,,,Bedford-Stuyvesant,US,mexican,FALSE,40.68837,"New York City, NY",-73.95684,Chilo's,$,4,135,NY,chilos-bedford-stuyvesant,11238
13,4503 5th Ave,,,Brooklyn,US,mexican,FALSE,40.64781878,"New York City, NY",-74.00763835,Tacos Matamoros,$,4,500,NY,tacos-matamoros-brooklyn,11220
14,301 Keap St,,,Brooklyn,US,mexican,FALSE,40.70791868,"New York City, NY",-73.95545876,Taco Santana,$,4,128,NY,taco-santana-brooklyn,11211
15,N 7th And Bedford Ave,,,Brooklyn,US,mexican,FALSE,40.71783,"New York City, NY",-73.95773,Taco Morelos,$,4,75,NY,taco-morelos-brooklyn,11211
16,N 3rd St,,,New York,US,mexican,FALSE,40.71540742,"New York City, NY",-73.96032684,Don Panchito,$,4.5,28,NY,don-panchito-new-york-2,11211
17,964 Amsterdam Ave,,,New York,US,mexican,FALSE,40.8014984,"New York City, NY",-73.9653397,Panchos,$,4.5,35,NY,panchos-new-york-2,10025
18,75 Victory Blvd,,,Staten Island,US,mexican,FALSE,40.63842,"New York City, NY",-74.07867,Taqueria El Gallo Azteca,$,4.5,89,NY,taqueria-el-gallo-azteca-staten-island-2,10301
19,7605 Roosevelt Ave,,,Jackson Heights,US,mexican,FALSE,40.74719127,"New York City, NY",-73.88950685,Taqueria Coatzingo,$,4,339,NY,taqueria-coatzingo-jackson-heights,11372
20,605 Prospect Pl,,,Brooklyn,US,mexican,FALSE,40.67521,"New York City, NY",-73.95657,Gueros,$,4,485,NY,gueros-brooklyn,11238
21,260 Court St,,,Brooklyn,US,mexican,FALSE,40.685341,"New York City, NY",-73.994661,Buddy's Burrito & Taco Bar,$,4,133,NY,buddys-burrito-and-taco-bar-brooklyn,11231
22,4708 47th Ave,,,Woodside,US,mexican,FALSE,40.740766,"New York City, NY",-73.917876,Taqueria Santa Fe,$,4,233,NY,taqueria-santa-fe-woodside-2,11377
23,214 Stanhope St,,,Brooklyn,US,mexican,FALSE,40.70042767,"New York City, NY",-73.92063171,Taqueria Santa Fe,$,4.5,41,NY,taqueria-santa-fe-brooklyn,11237
24,28 E 12th St,,,New York,US,mexican,FALSE,40.73396,"New York City, NY",-73.99312,DORADO Tacos & Quesadillas,$,4,501,NY,dorado-tacos-and-quesadillas-new-york,10003
25,2102 E 15th St,,,New York,US,mexican,FALSE,40.59858,"New York City, NY",-73.95653,El Mexicano Restaurant & Coffee,$,4,146,NY,el-mexicano-restaurant-and-coffee-new-york,11229
26,454 Graham Ave,,,Brooklyn,US,mexican,FALSE,40.71867,"New York City, NY",-73.9449099,Florentinas Restaurant,$,4,93,NY,florentinas-restaurant-brooklyn,11211
27,4324 4th Ave,,,Brooklyn,US,mexican,FALSE,40.65006,"New York City, NY",-74.00915,Tacos El Bronco,$,4,438,NY,tacos-el-bronco-brooklyn-2,11220
28,60 E 3rd St,,,New York,US,mexican,FALSE,40.725029,"New York City, NY",-73.9891663,El Diablito Taqueria,$,4,207,NY,el-diablito-taqueria-new-york,10003
29,9300 5th Ave,,,Brooklyn,US,mexican,FALSE,40.61717726,"New York City, NY",-74.02998604,Taqueria El Puente,$,4,87,NY,taqueria-el-puente-brooklyn,11209
30,1116 Manhattan Ave,Ste 2-L,,Brooklyn,US,mexican,FALSE,40.736717,"New York City, NY",-73.955004,Acapulco,$,4,232,NY,acapulco-brooklyn-2,11222
31,578 9th Ave,,,New York,US,mexican,FALSE,40.7581646,"New York City, NY",-73.9928447,Taqueria Tehuitzingo,$,4,277,NY,taqueria-tehuitzingo-new-york,10036
32,657 Myrtle Ave,,,Brooklyn,US,mexican,FALSE,40.69464,"New York City, NY",-73.95747,Chinantla,$,4,95,NY,chinantla-brooklyn,11205
33,124 E 4th St,,,New York,US,mexican,FALSE,40.7252676,"New York City, NY",-73.9877743,Tac N Roll,$,4.5,140,NY,tac-n-roll-new-york-3,10003
34,187 Suydam St,,,Brooklyn,US,mexican,FALSE,40.7000869,"New York City, NY",-73.9257427,Taqueria Sofia,$,4,88,NY,taqueria-sofia-brooklyn,11221
35,6720 14th Ave,,,Brooklyn,US,mexican,FALSE,40.62301086,"New York City, NY",-74.00115798,Taquitos Mexico,$,4,141,NY,taquitos-mexico-brooklyn,11219
36,2508 Broadway,,,Astoria,US,mexican,FALSE,40.76317682,"New York City, NY",-73.92822602,Los Portales,$,4,183,NY,los-portales-astoria-2,11105
37,79 Delancey St,,,New York,US,mexican,FALSE,40.71887,"New York City, NY",-73.99003,goa taco,$,4.5,403,NY,goa-taco-new-york,10002
38,2103 Starling Ave,,,Bronx,US,mexican,FALSE,40.83622,"New York City, NY",-73.85488,Taqueria Tlaxcalli,$,4.5,427,NY,taqueria-tlaxcalli-bronx,10462
39,405 W 44th St,,,New York,US,mexican,FALSE,40.76013565,"New York City, NY",-73.9920578,Oaxaca Taqueria,$,4,64,NY,oaxaca-taqueria-new-york-5,10036
40,7103 Grand Ave,,,Maspeth,US,mexican,FALSE,40.7279658,"New York City, NY",-73.8921686,Homemade Taqueria,$,4.5,207,NY,homemade-taqueria-maspeth,11378
41,1513 Myrtle Ave,,,Brooklyn,US,mexican,FALSE,40.6992569,"New York City, NY",-73.9152222,La Mesita Restaurant,$,4.5,54,NY,la-mesita-restaurant-brooklyn,11237
42,123 Essex St,,,New York,US,mexican,FALSE,40.7197418,"New York City, NY",-73.9877989,Essex Taqueria,$,4,182,NY,essex-taqueria-new-york,10002
43,37RD St 5th Ave,,,Brooklyn,US,mexican,FALSE,40.65599,"New York City, NY",-73.99899,Tacos El Bronco,$,4.5,73,NY,tacos-el-bronco-brooklyn-7,11232
44,32-44 31st St,,,Astoria,US,mexican,FALSE,40.76120336,"New York City, NY",-73.92614365,Mi Espiguita Taqueria,$,4,81,NY,mi-espiguita-taqueria-astoria,11106
45,134 E 27th St,,,New York,US,mexican,FALSE,40.74173203,"New York City, NY",-73.98233549,Tacos Grand Central,$,4.5,36,NY,tacos-grand-central-new-york-6,10016
46,45-09 34th Ave,,,Long Island City,US,mexican,FALSE,40.75469391,"New York City, NY",-73.9165629,Homemade Taqueria,$,4,229,NY,homemade-taqueria-long-island-city,11101
47,1621 Church Ave,,,Brooklyn,US,mexican,FALSE,40.64911,"New York City, NY",-73.96427,Mallenche Mexican Grill,$,4,66,NY,mallenche-mexican-grill-brooklyn-2,11226
48,1571 Lexington Ave,,,New York,US,mexican,FALSE,40.7887687,"New York City, NY",-73.94862599,Burritos y Mas NY Tex-Mex,$,4.5,78,NY,burritos-y-mas-ny-tex-mex-new-york,10029
49,161 7th Ave,,,Brooklyn,US,mexican,FALSE,40.67212,"New York City, NY",-73.97704,Papi's Grill,$,4,59,NY,papis-grill-brooklyn,11215
50,102 Norfolk St,,,New York,US,mexican,FALSE,40.71873,"New York City, NY",-73.98691,La Contenta,$$,4.5,483,NY,la-contenta-new-york,10002
51,887 Hart St,,,Brooklyn,US,mexican,FALSE,40.703111,"New York City, NY",-73.921892,Amaranto Mexican Restaurant,$$,4.5,220,NY,amaranto-mexican-restaurant-brooklyn,11237
52,216 Flatbush Ave,,,Brooklyn,US,mexican,FALSE,40.68104312,"New York City, NY",-73.97524033,Don Chingon,$$,4.5,211,NY,don-chingon-brooklyn,11217
53,253 Broome St,,,New York,US,mexican,FALSE,40.718022,"New York City, NY",-73.990026,Barrio Chino,$$,4,984,NY,barrio-chino-new-york,10002
54,29 7th Ave S,,,New York,US,mexican,FALSE,40.73078655,"New York City, NY",-74.00413595,La Loteria,$$,4,216,NY,la-loteria-new-york,10014
55,205 Thompson St,,,New York,US,mexican,FALSE,40.7286749,"New York City, NY",-73.9996277,Toloache Thompson,$$,4,340,NY,toloache-thompson-new-york-3,10012
56,194 Ave A,,,New York,US,mexican,FALSE,40.7291,"New York City, NY",-73.98105,El Camion,$$,4,540,NY,el-camion-new-york,10009
57,113 7th Ave S,,,New York,US,mexican,FALSE,40.73391,"New York City, NY",-74.00242,Ofrenda,$$,4,796,NY,ofrenda-new-york,10014
58,29 E Second St,,,New York,US,mexican,FALSE,40.72492981,"New York City, NY",-73.99079132,Rosie's,$$,4,390,NY,rosies-new-york-2,10003
59,33-09 36th Ave,,,Astoria,US,mexican,FALSE,40.75571715,"New York City, NY",-73.92781129,Chela & Garnacha,$$,4.5,245,NY,chela-and-garnacha-astoria,11106
60,1491 2nd Ave,,,New York,US,mexican,FALSE,40.77259,"New York City, NY",-73.95588,Calexico,$$,4,295,NY,calexico-new-york-5,10075
61,372 Graham Ave,,,Brooklyn,US,mexican,FALSE,40.71552658,"New York City, NY",-73.9442749,Mesa Coyoacan,$$,4,645,NY,mesa-coyoacan-brooklyn,11211
62,40 Avenue B,,,New York,US,mexican,FALSE,40.722852,"New York City, NY",-73.98286,Fonda,$$,4,581,NY,fonda-new-york-2,10009
63,162 E Broadway,,,New York,US,mexican,FALSE,40.71415303,"New York City, NY",-73.9904248,Jajaja,$$,4.5,122,NY,jajaja-new-york,10002
64,693 9th Ave,,,New York,US,mexican,FALSE,40.76212892,"New York City, NY",-73.99031373,Casa Agave,$$,4,348,NY,casa-agave-new-york-2,10036
65,45-06 30th Ave,,,Astoria,US,mexican,FALSE,40.76167,"New York City, NY",-73.9109,Mezquite Restaurant,$$,4.5,196,NY,mezquite-restaurant-astoria,11103
66,5-48 49th Ave,,,Long Island City,US,mexican,FALSE,40.74340434,"New York City, NY",-73.95435037,Casa Enrique,$$,4,777,NY,casa-enrique-long-island-city,11101
67,17 Prince St,,,New York,US,mexican,FALSE,40.722998,"New York City, NY",-73.994171,Cafe Habana,$$,4,2914,NY,cafe-habana-new-york-4,10012
68,802 9th Ave,,,New York,US,mexican,FALSE,40.765422,"New York City, NY",-73.98719,Tacuba Hell's Kitchen,$$,4,312,NY,tacuba-hells-kitchen-new-york,10019
69,32-02 Broadway,,,Astoria,US,mexican,FALSE,40.76142147,"New York City, NY",-73.92466495,Las Catrinas Mexican Bar & Eatery,$$,4,92,NY,las-catrinas-mexican-bar-and-eatery-astoria,11106
70,736 Franklin Ave,,,Brooklyn,US,mexican,FALSE,40.673484,"New York City, NY",-73.957267,Chavela's,$$,4,804,NY,chavelas-brooklyn-2,11238
71,138 5th Ave,,,Brooklyn,US,mexican,FALSE,40.6786853,"New York City, NY",-73.9791861,Miti Miti,$$,4,356,NY,miti-miti-brooklyn-2,11217
72,259 Vesey St,,,New York,US,mexican,FALSE,40.71473564,"New York City, NY",-74.01576094,El Vez Burrito,$$,4,74,NY,el-vez-burrito-new-york-2,10282
73,627 2nd Ave,,,New York,US,mexican,FALSE,40.74513626,"New York City, NY",-73.97597504,Baby Bo's Cantina,$$,4,501,NY,baby-bos-cantina-new-york,10016
74,757 Fulton St,,,Brooklyn,US,mexican,FALSE,40.6863699,"New York City, NY",-73.97422,Habana Outpost,$$,4,877,NY,habana-outpost-brooklyn,11217
75,66-36 Fresh Pond Rd,,,Ridgewood,US,mexican,FALSE,40.70785,"New York City, NY",-73.89798,Taqueria Kermes,$$,4.5,312,NY,taqueria-kermes-ridgewood,11385
76,221 Smith St,,,Brooklyn,US,mexican,FALSE,40.684257,"New York City, NY",-73.991874,Leyenda,$$,4,126,NY,leyenda-brooklyn,11201
